date t365 i365 t730 i730 t1095 i1095 t1460 i1460 t1825 i1825 t2555 i2555 t3650 i3650 t4380 i4380 t5475 i5475 t7300 i7300 t10950 i10950
20050223 385 0.05039188032 756 0.05045524236 1120 0.0502248132 1461 0.05036059284 1826 0.05030465168 2556 0.05021999435 3652 0.05001290913 4383 0.04976289999 5479 0.0493056444 7306 0.04835551266 10957 0.04626588722 
20050224 384 0.050748335 755 0.05087916487 1119 0.0506873245 1461 0.05072625448 1826 0.05067139824 2556 0.05058766394 3652 0.05035122039 4383 0.05006954134 5478 0.04954648195 7305 0.04852916052 10959 0.04628589287 
20050225 383 0.05048074927 754 0.05054912735 1118 0.05033595321 1461 0.05056589157 1826 0.0505081883 2558 0.05042152573 3652 0.05015207969 4385 0.04987111017 5478 0.04931495449 7305 0.04830289086 10958 0.04602568501 
20050228 380 0.05054723307 751 0.05063156953 1115 0.05042250491 1460 0.05047910857 1824 0.05036959259 2556 0.05025972744 3651 0.0499049368 4383 0.04962902334 5478 0.04907772892 7305 0.04803560551 10957 0.0458178041 
20050301 379 0.05064913041 750 0.05078083664 1114 0.05061961865 1462 0.05070571632 1826 0.05065003875 2557 0.0505376538 3653 0.05045665275 4383 0.05003926168 5480 0.04951944632 7307 0.04853922177 10957 0.04641726908 
20050302 378 0.05098134745 749 0.05115624046 1113 0.05104165229 1461 0.05120885321 1826 0.05115098625 2557 0.05106397326 3652 0.05085485051 4383 0.05060318173 5479 0.05014325246 7306 0.04926062698 10957 0.0472632663 
20050303 377 0.05082276397 748 0.05097863327 1112 0.05085743446 1461 0.05108972642 1826 0.05103089028 2559 0.05094271432 3652 0.05070333844 4383 0.050452486 5479 0.05002782472 7305 0.04918086444 10959 0.04726350186 
20050304 376 0.05063573319 747 0.05073762489 1111 0.0505982182 1461 0.05086902248 1826 0.05080976793 2558 0.05069386456 3652 0.05042389065 4385 0.05017500359 5479 0.04975241867 7305 0.04894614731 10958 0.04711456353 
20050307 373 0.05065216961 744 0.05074627604 1108 0.05060364982 1463 0.05089450225 1827 0.0508352721 2557 0.05069039671 3654 0.05039267611 4383 0.05014517728 5481 0.04972348975 7305 0.04888151482 10957 0.04705888674 
20050308 372 0.05090202685 743 0.05104355277 1107 0.05100598168 1462 0.05140199142 1826 0.05139465992 2557 0.05127376414 3653 0.05099924857 4383 0.05074834295 5480 0.05028850445 7307 0.04944311131 10957 0.04756422199 
